NR_111148.1	231974
NR_155772.1	247364
NR_137545.1	1912491
NR_138429.1	398679
NR_137299.1	173217
NR_137540.1	244880
NR_132801.1	223559
NR_077147.1	38006
NR_137143.1	230003
NR_135934.1	230008
NR_163511.1	45585
NR_131278.1	5493
NR_144809.1	266792
NR_144954.1	1920522
NR_144953.1	1508193
NR_144955.1	748612
NR_144956.1	748606
NR_111164.1	267649
NR_077132.1	1490995
NR_103571.1	63590
NR_144869.1	1491022
NR_134338.1	1491001
NR_134339.1	1747394
NR_155214.1	45587
NR_145089.1	237593
NR_119489.1	2762446
NR_136972.1	269384
NR_131987.1	54444
NR_119502.1	269737
NR_119503.1	269738
NR_119504.1	182292
NR_119505.1	269743
NR_164506.1	73518
NR_164507.1	135832
NR_155771.1	45594
NR_145274.1	325631
NR_131990.1	249470
NR_131991.1	249483
NR_155616.1	343503
NR_111146.1	55169
NR_119528.1	322685
NR_077065.1	192844
NR_163514.1	1086373
NR_138433.1	1490988
NR_134352.1	1086374
NR_134353.1	212376
NR_138432.1	257800
NR_077207.1	63577
NR_137538.1	220453
NR_145024.1	281367
NR_156195.1	281368
NR_145025.1	281369
NR_156196.1	282062
NR_156197.1	281374
NR_156501.1	73508
NR_137145.1	73509
NR_136965.1	246383
NR_131988.1	148960
NR_155952.1	1708541
NR_111175.1	284008
NR_119508.1	285266
NR_119490.1	242748
NR_111157.1	255212
NR_137665.1	255213
NR_077161.1	45552
NR_126113.1	1125743
NR_119491.1	1214571
NR_111167.1	44070
NR_137144.1	219603
NR_153597.1	219604
NR_136974.1	280465
NR_111161.1	221428
NR_111162.1	121127
NR_134343.1	370300
NR_111154.1	253867
NR_111177.1	286566
NR_111178.1	286567
NR_131989.1	251288
NR_119465.1	210568
NR_111158.1	258469
NR_111159.1	258470
NR_111772.1	1238185
NR_134344.1	257808
NR_134345.1	257802
NR_138430.1	1365137
NR_144871.1	1086370
NR_134346.1	1086371
NR_138431.1	257799
NR_134347.1	1408544
NR_134348.1	1432384
NR_134349.1	257811
NR_134350.1	1086372
NR_134351.1	257803
NR_144872.1	1432385
NR_145272.1	201336
NR_172215.1	109372
NR_119492.1	240344
NR_119517.1	296789
NR_119518.1	296791
NR_119519.1	296796
NR_119520.1	319375
NR_119521.1	296805
NR_135935.1	283353
NR_163510.1	89488
NR_111155.1	36650
NR_185505.1	227421
NR_152884.1	227423
NR_145349.1	2710536
NR_130673.1	5480
NR_111174.1	45133
NR_147364.1	1871264
NR_119510.1	260667
NR_147421.1	300274
NR_111163.1	268180
NR_077165.1	52256
NR_077085.1	53660
NR_077084.1	51922
NR_138207.1	907291
NR_077166.1	45525
NR_077086.1	178748
NR_131992.1	92630
NR_119564.1	343506
NR_111207.1	350811
NR_119562.1	343502
NR_119563.1	343507
NR_111156.1	994854
NR_119557.1	278596
NR_156200.1	2059835
NR_156502.1	2060168
NR_158994.1	306880
NR_077148.1	1859924
NR_136969.1	268492
NR_131993.1	2741558
NR_111169.1	983339
NR_111170.1	983340
NR_111171.1	264949
NR_111172.1	43265
NR_103580.1	264950
NR_131994.1	64636
NR_111173.1	858349
NR_103583.1	76777
NR_103584.1	76776
NR_103585.1	76775
NR_126114.1	77020
NR_126143.1	1381935
NR_126115.1	1381934
NR_163515.1	5322
NR_119566.1	255209
NR_111208.1	5281
NR_103586.1	147878
NR_119522.1	137495
NR_119523.1	316312
NR_153598.1	2654564
NR_135449.1	1069201
NR_138434.1	247546
NR_134354.1	692670
NR_159813.1	602025
NR_119579.1	299189
NR_119509.1	1095332
NR_157862.1	304744
NR_157863.1	260971
NR_144771.1	325170
NR_111220.1	162394
NR_132807.1	330785
NR_134366.1	381446
NR_132808.1	333980
NR_132809.1	333981
NR_119593.1	426775
NR_172725.1	661577
NR_159547.1	1276169
NR_119594.1	381465
NR_145275.1	356885
NR_202127.1	3681767
NR_147261.1	1238952
NR_134358.1	338181
NR_119568.1	983316
NR_136977.1	371670
NR_119571.1	357993
NR_119570.1	357992
NR_119575.1	366578
NR_172216.1	2748163
NR_159548.1	2748161
NR_163291.1	2748162
NR_119595.1	261097
NR_111221.1	388804
NR_136975.1	336255
NR_111194.1	336254
NR_136976.1	336256
NR_152990.1	341557
