NG_057330.1	41754
NG_057331.1	41725
NG_057332.1	41757
NG_057333.1	41758
NG_057334.1	41759
NG_057335.1	41727
NG_056291.1	40381
NG_057336.1	41731
NG_057337.1	41762
NG_057338.1	41743
NG_057339.1	41742
NG_054773.1	130809
NG_054774.1	130808
NG_042341.1	33190
NG_057654.1	82509
NG_067254.1	104415
NG_057655.1	104408
NG_070508.1	104410
NG_068965.1	104404
NG_057656.1	104406
NG_067255.1	104403
NG_057653.1	92953
NG_042353.1	92952
NG_068966.1	89928
NG_057657.1	105811
NG_057658.1	71782
NG_058617.1	104674
NG_246101.1	1390526
NG_057659.1	76002
NG_042362.1	4983
NG_057660.1	5611
NG_042352.1	82525
NG_057661.1	4999
NG_042360.1	29896
NG_057662.1	105822
NG_057663.1	104676
NG_057673.1	110590
NG_055090.1	1538187
NG_058723.1	5433
NG_042340.1	5288
NG_042342.1	86839
NG_060241.1	101563
NG_228860.1	2754050
NG_055715.1	129132
NG_059412.1	92631
NG_055720.1	85853
NG_060373.1	453956
NG_042344.1	86835
NG_070352.1	2587399
NG_058727.1	2339246
NG_056942.1	293433
NG_060242.1	696258
NG_059381.1	132574
NG_059382.1	132575
NG_059383.1	132576
NG_057710.1	696254
NG_057664.1	105987
NG_060621.1	2082652
NG_042378.1	132115
NG_042379.1	132578
NG_063928.1	132143
NG_063929.1	293297
NG_059063.1	132142
NG_042380.1	132577
NG_042381.1	93593
NG_059906.1	132152
NG_068977.1	41900
NG_055723.1	33178
NG_042389.1	192656
NG_042317.1	167156
NG_042390.1	1255125
NG_066149.1	192250
NG_042361.1	264483
NG_058729.1	1495451
NG_057711.1	175653
NG_057712.1	175657
NG_057713.1	175658
NG_057714.1	175685
NG_059413.1	1491480
NG_055175.1	223819
NG_064310.1	1323753
NG_055177.1	225544
NG_058621.1	219603
NG_058622.1	219604
NG_057719.1	40221
NG_058539.1	252803
NG_059385.1	181173
NG_055315.1	260050
NG_042401.1	576577
NG_042402.1	262247
NG_059059.1	57472
NG_058610.1	1390525
NG_060234.1	286112
NG_245399.1	290784
NG_056932.1	241728
NG_054795.1	348313
NG_057738.1	301199
NG_055044.1	300276
NG_055045.1	300277
NG_060377.1	308924
NG_058734.1	312312
NG_057734.1	312314
NG_070511.1	321620
NG_060068.1	388804
NG_042409.1	310453
NG_042410.1	236234
NG_042411.1	240345
NG_042412.1	286282
NG_042460.1	45133
NG_059073.1	47259
NG_059074.1	328846
NG_057743.1	2082305
NG_055722.1	41047
NG_055691.1	27292
NG_042377.1	37782
NG_042484.1	5619
NG_042355.1	105707
NG_042357.1	105705
NG_058726.1	5440
NG_042358.1	5616
NG_042359.1	5617
NG_042356.1	5613
NG_054775.1	148631
NG_054776.1	148634
NG_042354.1	54742
NG_054778.1	147329
NG_054779.1	147331
NG_054780.1	147332
NG_055176.1	147333
NG_054781.1	147334
NG_054782.1	147335
NG_058306.1	104675
NG_055308.1	1912491
NG_070510.1	255053
NG_058623.1	147497
NG_068228.1	105984
NG_057295.1	176171
NG_057296.1	176165
NG_070509.1	176169
NG_057298.1	176172
NG_057299.1	176170
NG_057300.1	176179
NG_057301.1	176173
NG_057302.1	138274
NG_068974.1	138275
NG_068975.1	138282
NG_068976.1	1612426
NG_057304.1	176160
NG_057305.1	176168
NG_057306.1	176174
NG_057307.1	176181
NG_057308.1	41903
NG_057309.1	176166
NG_057310.1	138281
NG_067766.1	108606
NG_055223.1	181602
NG_057675.1	177195
NG_246106.1	177202
NG_067257.1	177203
NG_246107.1	177204
NG_042382.1	177207
NG_057674.1	2823320
NG_068968.1	181770
NG_068969.1	2744532
NG_057683.1	182976
NG_057684.1	182974
NG_057685.1	182969
NG_246104.1	106013
NG_064305.1	160475
NG_064306.1	182961
NG_055724.1	195108
NG_057691.1	203080
NG_057692.1	201969
NG_057693.1	71562
NG_057694.1	34352
NG_057695.1	203085
NG_057696.1	71993
NG_057697.1	191416
NG_057698.1	203088
NG_057699.1	191417
NG_057700.1	71567
NG_057701.1	202756
NG_057728.1	267215
NG_042407.1	242748
NG_245397.1	286369
NG_245398.1	286385
NG_055016.1	279732
NG_054766.1	150398
NG_088005.1	339359
NG_056266.1	1093900
NG_057631.1	291973
NG_058720.1	64883
NG_055079.1	294376
NG_064303.1	251414
NG_058719.1	251415
NG_060783.1	251416
NG_055015.1	58632
NG_057741.1	330523
NG_057742.1	330528
NG_055017.1	308750
NG_073573.1	270180
NG_059424.1	298207
NG_059425.1	298208
NG_059421.1	293988
NG_059422.1	293989
NG_056951.1	5101
NG_055093.1	460514
NG_054777.1	193123
NG_054796.1	312228
NG_057722.1	235911
NG_059190.1	114840
NG_059907.1	168316
NG_067258.1	88718
NG_067259.1	303336
NG_068986.1	303337
NG_056953.1	303344
NG_056954.1	1170767
NG_057726.1	64637
NG_057727.1	64489
NG_060243.1	231204
NG_060063.1	199338
NG_243641.1	588727
NG_055022.1	112263
NG_246071.1	113607
NG_066347.1	113606
NG_055028.1	27291
NG_055690.1	4931
NG_055029.1	27293
NG_055030.1	432096
NG_055031.1	56413
NG_055032.1	1089531
NG_055033.1	1089533
NG_055036.1	36033
NG_055021.1	114526
